0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:09:30 +0530] "GET /Baby_Monitoring/adminResources/js/mainscripts.bundle.js HTTP/1.1" 200 13479
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:09:30 +0530] "GET /Baby_Monitoring/adminResources/js/index.js HTTP/1.1" 200 2311
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:09:30 +0530] "GET /Baby_Monitoring/adminResources/js/loadercripts.bundle.js HTTP/1.1" 200 108740
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:09:30 +0530] "GET /Baby_Monitoring/adminResources/images/falcon-logo-color.png HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:09:31 +0530] "GET /Baby_Monitoring/adminResources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:09:31 +0530] "GET /Baby_Monitoring/images/loader.gif HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:09:32 +0530] "GET /Baby_Monitoring/adminResources/images/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/index.html HTTP/1.1" 200 6816
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/main.css HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/js/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/js/jquery.hover-dropdown-menu-addon.js HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/js/main.js HTTP/1.1" 200 5698
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/js/hover-dropdown-menu.js HTTP/1.1" 200 41607
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/js/owl.carousel.min.js HTTP/1.1" 200 42760
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/jquery.fancybox.css HTTP/1.1" 200 4895
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/hover-dropdown-menu.css HTTP/1.1" 200 38018
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/owl.theme.default.css HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/themeHover.css HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/iconfont.css HTTP/1.1" 200 43289
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/responsive.css HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/color.css HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/style.css HTTP/1.1" 200 31431
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/owl.carousel.css HTTP/1.1" 200 4028
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:08 +0530] "GET /Baby_Monitoring/userResources/css/jquery-ui.css HTTP/1.1" 200 37282
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:09 +0530] "GET /Baby_Monitoring/userResources/img/background/breadcrumb.jpg HTTP/1.1" 200 198122
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:09 +0530] "GET /Baby_Monitoring/userResources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "POST /Baby_Monitoring/spring_verify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/admin.html HTTP/1.1" 200 113103
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/css/animsition.min.css HTTP/1.1" 200 48638
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/css/morris.css HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/pi-avatar.jpg HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/css/main.css HTTP/1.1" 200 475185
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/Jane-avatar.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/random-avatar1.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/images/random-avatar3.jpg HTTP/1.1" 200 21930
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/images/profile-photo.jpg HTTP/1.1" 200 23666
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar1.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar8.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar3.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar6.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar5.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar4.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar9.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar10.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar2.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/profile-photo.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/project_img1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/project_img2.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/project_img3.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/project_img4.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/js/vendorscripts.bundle.js HTTP/1.1" 200 11660
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/js/raphael.bundle.js HTTP/1.1" 200 90936
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/js/morris.bundle.js HTTP/1.1" 200 35474
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/js/flotscripts.bundle.js HTTP/1.1" 200 58348
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/js/mainscripts.bundle.js HTTP/1.1" 200 13479
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/js/loadercripts.bundle.js HTTP/1.1" 200 108740
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/js/index.js HTTP/1.1" 200 2311
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/js/d3cripts.bundle.js HTTP/1.1" 200 115092
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/js/sparkline.bundle.js HTTP/1.1" 200 42869
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/js/libscripts.bundle.js HTTP/1.1" 200 146938
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar5.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar1.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar4.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar2.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/images/falcon-logo-color.png HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/adminResources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:12 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar3.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:10:13 +0530] "GET /Baby_Monitoring/images/loader.gif HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:22 +0530] "GET /Baby_Monitoring/index.html HTTP/1.1" 200 6816
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/main.css HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/js/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/js/hover-dropdown-menu.js HTTP/1.1" 200 41607
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/js/jquery.hover-dropdown-menu-addon.js HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/js/owl.carousel.min.js HTTP/1.1" 200 42760
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/js/main.js HTTP/1.1" 200 5698
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/hover-dropdown-menu.css HTTP/1.1" 200 38018
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/jquery.fancybox.css HTTP/1.1" 200 4895
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/owl.carousel.css HTTP/1.1" 200 4028
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/jquery-ui.css HTTP/1.1" 200 37282
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/owl.theme.default.css HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/iconfont.css HTTP/1.1" 200 43289
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/themeHover.css HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/responsive.css HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/color.css HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/css/style.css HTTP/1.1" 200 31431
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/img/background/breadcrumb.jpg HTTP/1.1" 200 198122
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:23 +0530] "GET /Baby_Monitoring/userResources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:29 +0530] "POST /Baby_Monitoring/spring_verify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/user.html HTTP/1.1" 200 56862
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/main.css HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/logo.png HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/main-1.jpg HTTP/1.1" 200 879091
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/js/hover-dropdown-menu.js HTTP/1.1" 200 41607
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/js/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/js/jquery.hover-dropdown-menu-addon.js HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/js/owl.carousel.min.js HTTP/1.1" 200 42760
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/js/jquery.fancybox-media.js HTTP/1.1" 200 5305
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/js/main.js HTTP/1.1" 200 5698
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/main-2.jpg HTTP/1.1" 200 1022986
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/main-3.jpg HTTP/1.1" 200 706827
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/js/jquery.fancybox.pack.js HTTP/1.1" 200 23135
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/main-xs-1.jpg HTTP/1.1" 200 1020946
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/main-xs-2.jpg HTTP/1.1" 200 1259983
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/main-xs-3.jpg HTTP/1.1" 200 910693
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/hover-dropdown-menu.css HTTP/1.1" 200 38018
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/jquery.fancybox.css HTTP/1.1" 200 4895
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/jquery-ui.css HTTP/1.1" 200 37282
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/owl.carousel.css HTTP/1.1" 200 4028
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/owl.theme.default.css HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/iconfont.css HTTP/1.1" 200 43289
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/themeHover.css HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/style.css HTTP/1.1" 200 31431
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/color.css HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/css/responsive.css HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/About-us-1.jpg HTTP/1.1" 200 204944
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/About-us-2.jpg HTTP/1.1" 200 204944
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/About-us-3.jpg HTTP/1.1" 200 204944
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/About-us-4.jpg HTTP/1.1" 200 204944
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/facilities-1.jpg HTTP/1.1" 200 176640
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/facilities-3.jpg HTTP/1.1" 200 176640
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/facilities-4.jpg HTTP/1.1" 200 176640
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/facilities-2.jpg HTTP/1.1" 200 176640
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/Angry-Little-Baby.jpg_detected.jpg HTTP/1.1" 200 87845
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/cry.jpg_detected.jpg HTTP/1.1" 200 15731
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/sixth.mp4_detected.jpg HTTP/1.1" 200 114730
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/Cute-Happy-Baby-Picture.jpg_detected.jpg HTTP/1.1" 200 223934
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/aakash.jpg HTTP/1.1" 200 10242
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/1.jpg HTTP/1.1" 200 87700
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/2.jpg HTTP/1.1" 200 117304
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/3.jpg HTTP/1.1" 200 92057
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/reena.jpg HTTP/1.1" 200 698769
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/mimo.png HTTP/1.1" 200 8334
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/owlet.jpg HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/nanit.jpg HTTP/1.1" 200 32091
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/monbaby.png HTTP/1.1" 200 23137
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/ninth.mp4_detected.jpg HTTP/1.1" 200 60724
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/vrinda.jpg HTTP/1.1" 200 1767409
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/img/background/footer-background.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/main-2.jpg HTTP/1.1" 200 1022986
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/main-1.jpg HTTP/1.1" 200 879091
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:30 +0530] "GET /Baby_Monitoring/userResources/images/main-xs-1.jpg HTTP/1.1" 200 1020946
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/main-3.jpg HTTP/1.1" 200 706827
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/main-xs-3.jpg HTTP/1.1" 200 910693
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/main-xs-2.jpg HTTP/1.1" 200 1259983
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/About-us-1.jpg HTTP/1.1" 200 204944
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/About-us-3.jpg HTTP/1.1" 200 204944
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/About-us-2.jpg HTTP/1.1" 200 204944
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/About-us-4.jpg HTTP/1.1" 200 204944
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/facilities-1.jpg HTTP/1.1" 200 176640
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/facilities-3.jpg HTTP/1.1" 200 176640
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/aakash.jpg HTTP/1.1" 200 10242
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/facilities-4.jpg HTTP/1.1" 200 176640
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/facilities-2.jpg HTTP/1.1" 200 176640
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/mimo.png HTTP/1.1" 200 8334
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/owlet.jpg HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/reena.jpg HTTP/1.1" 200 698769
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/nanit.jpg HTTP/1.1" 200 32091
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/monbaby.png HTTP/1.1" 200 23137
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:31 +0530] "GET /Baby_Monitoring/userResources/images/vrinda.jpg HTTP/1.1" 200 1767409
0:0:0:0:0:0:0:1 - - [21/Apr/2018:14:11:52 +0530] "GET /Baby_Monitoring/showResult.html HTTP/1.1" 200 11871
